Tekmvanje,Država,Tekmovalec
JBMO,Saudi Arabia,Kurdi Manar
JBMO,North Macedonia,Ilir Limani
JBMO,Tajikistan,Naimdzhon Khondzhonov
JBMO,Saudi Arabia,Habibullah Omar
JBMO,Türkiye,Ömer Yavuz Öztürk
JBMO,France,Pierre - Alexandre Bazin
JBMO,Bulgaria,Kristian Minchev
JBMO,Romania - B,Mircea Donciu
JBMO,Turkmenistan,Ashyrgeldi Atayev
JBMO,Montenegro,Nina Mitrović
JBMO,Bosnia and Herzegovina,Faik Tahirović
JBMO,Tajikistan,Faridun Dilshodov
JBMO,Bulgaria,Svetlin Lalov
JBMO,Azerbaijan,Anar Abbasli
JBMO,Turkmenistan,Kadyrberdi Annabayev
JBMO,Tajikistan,Aliakbar Aziz
JBMO,Saudi Arabia,Alhydary Thnaa
JBMO,Greece,Orestis Lignos
JBMO,France,Paul Cahen
JBMO,Saudi Arabia,Alansari Mohammed
JBMO,Azerbaijan,Ramil Jabiyev
JBMO,Indonesia,Moses Mayer
JBMO,Kazakhstan,Bauyrzhan Kubeyev
JBMO,France,Arthur Léonard
JBMO,Moldova,Alexandru Lopotenco
JBMO,Greece,Orfeas Ploiaridis
JBMO,Moldova,Daniel Hangan
JBMO,Bosnia and Herzegovina,Marko Jojić
JBMO,Bosnia and Herzegovina,Amila Mujkić
JBMO,Greece,Oresths Tsatalmpasidis
JBMO,Cyprus,Georgia Orphanidou
JBMO,Moldova,Alexandru Rudi
JBMO,Albania,Xhenisa Harlicaj
JBMO,North Macedonia,Angela Trpcheska
JBMO,France,Linda Gutsche
JBMO,Bosnia and Herzegovina,Lamija Biogradlija
JBMO,Saudi Arabia,Alsaygh Fares
JBMO,Azerbaijan,Ramiz Valiyev
JBMO,Tajikistan,Tahmuras Abdurashidov
JBMO,Albania,Igli Mlloja
JBMO,France,Ilyas Lebleu
JBMO,Indonesia,Alvin Putera Budiman
JBMO,Cyprus,Seyed Datis Amir Kalali
JBMO,Cyprus,Marios Avraamidis
JBMO,Albania,Seli Lulaj
JBMO,Turkmenistan,Kemal Atajanov
JBMO,Romania,Robert Valentin Vadastreanu
JBMO,Montenegro,Lana Vukmirovic
JBMO,Cyprus,Andreas Yiakoumi
JBMO,North Macedonia,Martin Dinev
JBMO,Cyprus,Georgios Konstantinou
JBMO,Albania,Majla Sulejmani
JBMO,Romania,Gabriel Ciprian Stanciu
JBMO,Moldova,Gabriel Cojocaru
JBMO,Cyprus,Eirini Ioannou
JBMO,Montenegro,Emir Hadzajlic
JBMO,Bosnia and Herzegovina,Tarik Beganović
JBMO,Philippines,William Joshua G. King
